PC:    0 |  SUB R0, R15, R15                |   REGISTER FILE: R0 =   0, R1 =   0, R2 =   0, R3 =   0, R4 =   0, R5 =   0, R6 =   0
PC:   32 |  ADD R5, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  45, R2 =   1, R3 =   4, R4 =   6, R5 =  10, R6 =  12
PC:   36 |  ADD R6, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  45, R2 =   1, R3 =   4, R4 =   6, R5 =  10, R6 =  12
PC:   40 |  SUBS R1, R1, #1                 |   REGISTER FILE: R0 =   0, R1 =  45, R2 =   1, R3 =   3, R4 =   6, R5 =  10, R6 =  12
PC:   44 |  BNE FOR_OUTER                   |   REGISTER FILE: R0 =   0, R1 =  45, R2 =   0, R3 =   3, R4 =   6, R5 =  10, R6 =  12
PC:    8 |  OUTER_LOOP: ADD R2, R0, #4      |   REGISTER FILE: R0 =   0, R1 =  45, R2 =   0, R3 =   3, R4 =   6, R5 =  10, R6 =  12
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  45, R2 =   0, R3 =   3, R4 =   6, R5 =  12, R6 =  12
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  45, R2 =   0, R3 =   3, R4 =   6, R5 =  12, R6 =  14
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  44, R2 =   0, R3 =   3, R4 =   6, R5 =  12, R6 =  14
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  44, R2 =   0, R3 =   3, R4 =   6, R5 =  12, R6 =  14
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  44, R2 =   4, R3 =   3, R4 =   6, R5 =  12, R6 =  14
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  44, R2 =   4, R3 =   4, R4 =   6, R5 =  12, R6 =  14
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  44, R2 =   4, R3 =   4, R4 =   6, R5 =  12, R6 =  14
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  44, R2 =   4, R3 =   3, R4 =   6, R5 =  12, R6 =  14
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  44, R2 =   3, R3 =   3, R4 =   6, R5 =  12, R6 =  14
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  44, R2 =   3, R3 =   3, R4 =   6, R5 =  12, R6 =  14
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  44, R2 =   3, R3 =   4, R4 =   6, R5 =  12, R6 =  14
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  44, R2 =   3, R3 =   4, R4 =   6, R5 =  12, R6 =  14
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  44, R2 =   3, R3 =   3, R4 =   6, R5 =  12, R6 =  14
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  44, R2 =   2, R3 =   3, R4 =   6, R5 =  12, R6 =  14
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  44, R2 =   2, R3 =   3, R4 =   6, R5 =  12, R6 =  14
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  44, R2 =   2, R3 =   4, R4 =   6, R5 =  12, R6 =  14
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  44, R2 =   2, R3 =   4, R4 =   6, R5 =  12, R6 =  14
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  44, R2 =   2, R3 =   3, R4 =   6, R5 =  12, R6 =  14
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  44, R2 =   1, R3 =   3, R4 =   6, R5 =  12, R6 =  14
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  44, R2 =   1, R3 =   3, R4 =   6, R5 =  12, R6 =  14
PC:   32 |  ADD R5, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  44, R2 =   1, R3 =   4, R4 =   6, R5 =  12, R6 =  14
PC:   36 |  ADD R6, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  44, R2 =   1, R3 =   4, R4 =   6, R5 =  12, R6 =  14
PC:   40 |  SUBS R1, R1, #1                 |   REGISTER FILE: R0 =   0, R1 =  44, R2 =   1, R3 =   3, R4 =   6, R5 =  12, R6 =  14
PC:   44 |  BNE FOR_OUTER                   |   REGISTER FILE: R0 =   0, R1 =  44, R2 =   0, R3 =   3, R4 =   6, R5 =  12, R6 =  14
PC:    8 |  OUTER_LOOP: ADD R2, R0, #4      |   REGISTER FILE: R0 =   0, R1 =  44, R2 =   0, R3 =   3, R4 =   6, R5 =  12, R6 =  14
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  44, R2 =   0, R3 =   3, R4 =   6, R5 =  14, R6 =  14
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  44, R2 =   0, R3 =   3, R4 =   6, R5 =  14, R6 =  16
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  43, R2 =   0, R3 =   3, R4 =   6, R5 =  14, R6 =  16
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  43, R2 =   0, R3 =   3, R4 =   6, R5 =  14, R6 =  16
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  43, R2 =   4, R3 =   3, R4 =   6, R5 =  14, R6 =  16
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  43, R2 =   4, R3 =   4, R4 =   6, R5 =  14, R6 =  16
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  43, R2 =   4, R3 =   4, R4 =   6, R5 =  14, R6 =  16
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  43, R2 =   4, R3 =   3, R4 =   6, R5 =  14, R6 =  16
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  43, R2 =   3, R3 =   3, R4 =   6, R5 =  14, R6 =  16
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  43, R2 =   3, R3 =   3, R4 =   6, R5 =  14, R6 =  16
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  43, R2 =   3, R3 =   4, R4 =   6, R5 =  14, R6 =  16
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  43, R2 =   3, R3 =   4, R4 =   6, R5 =  14, R6 =  16
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  43, R2 =   3, R3 =   3, R4 =   6, R5 =  14, R6 =  16
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  43, R2 =   2, R3 =   3, R4 =   6, R5 =  14, R6 =  16
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  43, R2 =   2, R3 =   3, R4 =   6, R5 =  14, R6 =  16
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  43, R2 =   2, R3 =   4, R4 =   6, R5 =  14, R6 =  16
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  43, R2 =   2, R3 =   4, R4 =   6, R5 =  14, R6 =  16
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  43, R2 =   2, R3 =   3, R4 =   6, R5 =  14, R6 =  16
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  43, R2 =   1, R3 =   3, R4 =   6, R5 =  14, R6 =  16
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  43, R2 =   1, R3 =   3, R4 =   6, R5 =  14, R6 =  16
PC:   32 |  ADD R5, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  43, R2 =   1, R3 =   4, R4 =   6, R5 =  14, R6 =  16
PC:   36 |  ADD R6, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  43, R2 =   1, R3 =   4, R4 =   6, R5 =  14, R6 =  16
PC:   40 |  SUBS R1, R1, #1                 |   REGISTER FILE: R0 =   0, R1 =  43, R2 =   1, R3 =   3, R4 =   6, R5 =  14, R6 =  16
PC:   44 |  BNE FOR_OUTER                   |   REGISTER FILE: R0 =   0, R1 =  43, R2 =   0, R3 =   3, R4 =   6, R5 =  14, R6 =  16
PC:    8 |  OUTER_LOOP: ADD R2, R0, #4      |   REGISTER FILE: R0 =   0, R1 =  43, R2 =   0, R3 =   3, R4 =   6, R5 =  14, R6 =  16
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  43, R2 =   0, R3 =   3, R4 =   6, R5 =  16, R6 =  16
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  43, R2 =   0, R3 =   3, R4 =   6, R5 =  16, R6 =  18
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  42, R2 =   0, R3 =   3, R4 =   6, R5 =  16, R6 =  18
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  42, R2 =   0, R3 =   3, R4 =   6, R5 =  16, R6 =  18
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  42, R2 =   4, R3 =   3, R4 =   6, R5 =  16, R6 =  18
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  42, R2 =   4, R3 =   4, R4 =   6, R5 =  16, R6 =  18
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  42, R2 =   4, R3 =   4, R4 =   6, R5 =  16, R6 =  18
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  42, R2 =   4, R3 =   3, R4 =   6, R5 =  16, R6 =  18
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  42, R2 =   3, R3 =   3, R4 =   6, R5 =  16, R6 =  18
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  42, R2 =   3, R3 =   3, R4 =   6, R5 =  16, R6 =  18
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  42, R2 =   3, R3 =   4, R4 =   6, R5 =  16, R6 =  18
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  42, R2 =   3, R3 =   4, R4 =   6, R5 =  16, R6 =  18
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  42, R2 =   3, R3 =   3, R4 =   6, R5 =  16, R6 =  18
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  42, R2 =   2, R3 =   3, R4 =   6, R5 =  16, R6 =  18
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  42, R2 =   2, R3 =   3, R4 =   6, R5 =  16, R6 =  18
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  42, R2 =   2, R3 =   4, R4 =   6, R5 =  16, R6 =  18
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  42, R2 =   2, R3 =   4, R4 =   6, R5 =  16, R6 =  18
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  42, R2 =   2, R3 =   3, R4 =   6, R5 =  16, R6 =  18
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  42, R2 =   1, R3 =   3, R4 =   6, R5 =  16, R6 =  18
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  42, R2 =   1, R3 =   3, R4 =   6, R5 =  16, R6 =  18
PC:   32 |  ADD R5, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  42, R2 =   1, R3 =   4, R4 =   6, R5 =  16, R6 =  18
PC:   36 |  ADD R6, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  42, R2 =   1, R3 =   4, R4 =   6, R5 =  16, R6 =  18
PC:   40 |  SUBS R1, R1, #1                 |   REGISTER FILE: R0 =   0, R1 =  42, R2 =   1, R3 =   3, R4 =   6, R5 =  16, R6 =  18
PC:   44 |  BNE FOR_OUTER                   |   REGISTER FILE: R0 =   0, R1 =  42, R2 =   0, R3 =   3, R4 =   6, R5 =  16, R6 =  18
PC:    8 |  OUTER_LOOP: ADD R2, R0, #4      |   REGISTER FILE: R0 =   0, R1 =  42, R2 =   0, R3 =   3, R4 =   6, R5 =  16, R6 =  18
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  42, R2 =   0, R3 =   3, R4 =   6, R5 =  18, R6 =  18
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  42, R2 =   0, R3 =   3, R4 =   6, R5 =  18, R6 =  20
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  41, R2 =   0, R3 =   3, R4 =   6, R5 =  18, R6 =  20
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  41, R2 =   0, R3 =   3, R4 =   6, R5 =  18, R6 =  20
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  41, R2 =   4, R3 =   3, R4 =   6, R5 =  18, R6 =  20
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  41, R2 =   4, R3 =   4, R4 =   6, R5 =  18, R6 =  20
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  41, R2 =   4, R3 =   4, R4 =   6, R5 =  18, R6 =  20
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  41, R2 =   4, R3 =   3, R4 =   6, R5 =  18, R6 =  20
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  41, R2 =   3, R3 =   3, R4 =   6, R5 =  18, R6 =  20
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  41, R2 =   3, R3 =   3, R4 =   6, R5 =  18, R6 =  20
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  41, R2 =   3, R3 =   4, R4 =   6, R5 =  18, R6 =  20
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  41, R2 =   3, R3 =   4, R4 =   6, R5 =  18, R6 =  20
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  41, R2 =   3, R3 =   3, R4 =   6, R5 =  18, R6 =  20
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  41, R2 =   2, R3 =   3, R4 =   6, R5 =  18, R6 =  20
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  41, R2 =   2, R3 =   3, R4 =   6, R5 =  18, R6 =  20
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  41, R2 =   2, R3 =   4, R4 =   6, R5 =  18, R6 =  20
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  41, R2 =   2, R3 =   4, R4 =   6, R5 =  18, R6 =  20
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  41, R2 =   2, R3 =   3, R4 =   6, R5 =  18, R6 =  20
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  41, R2 =   1, R3 =   3, R4 =   6, R5 =  18, R6 =  20
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  41, R2 =   1, R3 =   3, R4 =   6, R5 =  18, R6 =  20
PC:   32 |  ADD R5, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  41, R2 =   1, R3 =   4, R4 =   6, R5 =  18, R6 =  20
PC:   36 |  ADD R6, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  41, R2 =   1, R3 =   4, R4 =   6, R5 =  18, R6 =  20
PC:   40 |  SUBS R1, R1, #1                 |   REGISTER FILE: R0 =   0, R1 =  41, R2 =   1, R3 =   3, R4 =   6, R5 =  18, R6 =  20
PC:   44 |  BNE FOR_OUTER                   |   REGISTER FILE: R0 =   0, R1 =  41, R2 =   0, R3 =   3, R4 =   6, R5 =  18, R6 =  20
PC:    8 |  OUTER_LOOP: ADD R2, R0, #4      |   REGISTER FILE: R0 =   0, R1 =  41, R2 =   0, R3 =   3, R4 =   6, R5 =  18, R6 =  20
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  41, R2 =   0, R3 =   3, R4 =   6, R5 =  20, R6 =  20
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  41, R2 =   0, R3 =   3, R4 =   6, R5 =  20, R6 =  22
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  40, R2 =   0, R3 =   3, R4 =   6, R5 =  20, R6 =  22
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  40, R2 =   0, R3 =   3, R4 =   6, R5 =  20, R6 =  22
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  40, R2 =   4, R3 =   3, R4 =   6, R5 =  20, R6 =  22
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  40, R2 =   4, R3 =   4, R4 =   6, R5 =  20, R6 =  22
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  40, R2 =   4, R3 =   4, R4 =   6, R5 =  20, R6 =  22
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  40, R2 =   4, R3 =   3, R4 =   6, R5 =  20, R6 =  22
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  40, R2 =   3, R3 =   3, R4 =   6, R5 =  20, R6 =  22
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  40, R2 =   3, R3 =   3, R4 =   6, R5 =  20, R6 =  22
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  40, R2 =   3, R3 =   4, R4 =   6, R5 =  20, R6 =  22
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  40, R2 =   3, R3 =   4, R4 =   6, R5 =  20, R6 =  22
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  40, R2 =   3, R3 =   3, R4 =   6, R5 =  20, R6 =  22
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  40, R2 =   2, R3 =   3, R4 =   6, R5 =  20, R6 =  22
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  40, R2 =   2, R3 =   3, R4 =   6, R5 =  20, R6 =  22
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  40, R2 =   2, R3 =   4, R4 =   6, R5 =  20, R6 =  22
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  40, R2 =   2, R3 =   4, R4 =   6, R5 =  20, R6 =  22
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  40, R2 =   2, R3 =   3, R4 =   6, R5 =  20, R6 =  22
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  40, R2 =   1, R3 =   3, R4 =   6, R5 =  20, R6 =  22
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  40, R2 =   1, R3 =   3, R4 =   6, R5 =  20, R6 =  22
PC:   32 |  ADD R5, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  40, R2 =   1, R3 =   4, R4 =   6, R5 =  20, R6 =  22
PC:   36 |  ADD R6, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  40, R2 =   1, R3 =   4, R4 =   6, R5 =  20, R6 =  22
PC:   40 |  SUBS R1, R1, #1                 |   REGISTER FILE: R0 =   0, R1 =  40, R2 =   1, R3 =   3, R4 =   6, R5 =  20, R6 =  22
PC:   44 |  BNE FOR_OUTER                   |   REGISTER FILE: R0 =   0, R1 =  40, R2 =   0, R3 =   3, R4 =   6, R5 =  20, R6 =  22
PC:    8 |  OUTER_LOOP: ADD R2, R0, #4      |   REGISTER FILE: R0 =   0, R1 =  40, R2 =   0, R3 =   3, R4 =   6, R5 =  20, R6 =  22
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  40, R2 =   0, R3 =   3, R4 =   6, R5 =  22, R6 =  22
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  40, R2 =   0, R3 =   3, R4 =   6, R5 =  22, R6 =  24
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  39, R2 =   0, R3 =   3, R4 =   6, R5 =  22, R6 =  24
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  39, R2 =   0, R3 =   3, R4 =   6, R5 =  22, R6 =  24
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  39, R2 =   4, R3 =   3, R4 =   6, R5 =  22, R6 =  24
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  39, R2 =   4, R3 =   4, R4 =   6, R5 =  22, R6 =  24
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  39, R2 =   4, R3 =   4, R4 =   6, R5 =  22, R6 =  24
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  39, R2 =   4, R3 =   3, R4 =   6, R5 =  22, R6 =  24
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  39, R2 =   3, R3 =   3, R4 =   6, R5 =  22, R6 =  24
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  39, R2 =   3, R3 =   3, R4 =   6, R5 =  22, R6 =  24
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  39, R2 =   3, R3 =   4, R4 =   6, R5 =  22, R6 =  24
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  39, R2 =   3, R3 =   4, R4 =   6, R5 =  22, R6 =  24
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  39, R2 =   3, R3 =   3, R4 =   6, R5 =  22, R6 =  24
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  39, R2 =   2, R3 =   3, R4 =   6, R5 =  22, R6 =  24
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  39, R2 =   2, R3 =   3, R4 =   6, R5 =  22, R6 =  24
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  39, R2 =   2, R3 =   4, R4 =   6, R5 =  22, R6 =  24
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  39, R2 =   2, R3 =   4, R4 =   6, R5 =  22, R6 =  24
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  39, R2 =   2, R3 =   3, R4 =   6, R5 =  22, R6 =  24
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  39, R2 =   1, R3 =   3, R4 =   6, R5 =  22, R6 =  24
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  39, R2 =   1, R3 =   3, R4 =   6, R5 =  22, R6 =  24
PC:   32 |  ADD R5, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  39, R2 =   1, R3 =   4, R4 =   6, R5 =  22, R6 =  24
PC:   36 |  ADD R6, R5, #2                  |   REGISTER FILE: R0 =   0, R1 =  39, R2 =   1, R3 =   4, R4 =   6, R5 =  22, R6 =  24
PC:   40 |  SUBS R1, R1, #1                 |   REGISTER FILE: R0 =   0, R1 =  39, R2 =   1, R3 =   3, R4 =   6, R5 =  22, R6 =  24
PC:   44 |  BNE FOR_OUTER                   |   REGISTER FILE: R0 =   0, R1 =  39, R2 =   0, R3 =   3, R4 =   6, R5 =  22, R6 =  24
PC:    8 |  OUTER_LOOP: ADD R2, R0, #4      |   REGISTER FILE: R0 =   0, R1 =  39, R2 =   0, R3 =   3, R4 =   6, R5 =  22, R6 =  24
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  39, R2 =   0, R3 =   3, R4 =   6, R5 =  24, R6 =  24
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  39, R2 =   0, R3 =   3, R4 =   6, R5 =  24, R6 =  26
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  38, R2 =   0, R3 =   3, R4 =   6, R5 =  24, R6 =  26
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  38, R2 =   0, R3 =   3, R4 =   6, R5 =  24, R6 =  26
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  38, R2 =   4, R3 =   3, R4 =   6, R5 =  24, R6 =  26
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  38, R2 =   4, R3 =   4, R4 =   6, R5 =  24, R6 =  26
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  38, R2 =   4, R3 =   4, R4 =   6, R5 =  24, R6 =  26
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  38, R2 =   4, R3 =   3, R4 =   6, R5 =  24, R6 =  26
PC:   24 |  SUBS R2, R2, #1                 |   REGISTER FILE: R0 =   0, R1 =  38, R2 =   3, R3 =   3, R4 =   6, R5 =  24, R6 =  26
PC:   28 |  BNE FOR_INNER                   |   REGISTER FILE: R0 =   0, R1 =  38, R2 =   3, R3 =   3, R4 =   6, R5 =  24, R6 =  26
PC:   12 |  INNER_LOOP: ADD R3, R3, #1      |   REGISTER FILE: R0 =   0, R1 =  38, R2 =   3, R3 =   4, R4 =   6, R5 =  24, R6 =  26
PC:   16 |  ADD R4, R3, #2                  |   REGISTER FILE: R0 =   0, R1 =  38, R2 =   3, R3 =   4, R4 =   6, R5 =  24, R6 =  26
PC:   20 |  ADD R3, R0, #3                  |   REGISTER FILE: R0 =   0, R1 =  38, R2 =   3, R3 =   3, R4 =   6, R5 =  24, R6 =  26
